	category_id	category_d1	category_d2	category_d3	category_d4	category_d5	category_d6	reference_filename
233	233	Sounds of things	Mechanisms	Mechanical fan				233Sounds of things_Mechanisms_Mechanical fan_reference.wav
234	234	Sounds of things	Mechanisms	Printer				234Sounds of things_Mechanisms_Printer_reference.wav
235	235	Sounds of things	Mechanisms	Pulleys				235Sounds of things_Mechanisms_Pulleys_reference.wav
236	236	Sounds of things	Mechanisms	Ratchet, pawl				236Sounds of things_Mechanisms_Ratchet_ pawl_reference.wav
237	237	Sounds of things	Mechanisms	Sewing machine				237Sounds of things_Mechanisms_Sewing machine_reference.wav
238	238	Sounds of things	Miscellaneous sources	Arrow	Thump, thud	Clunk		238Sounds of things_Miscellaneous sources_Arrow_Thump_ thud_Clunk_reference.wav
239	239	Sounds of things	Miscellaneous sources	Duck call (hunting tool)				239Sounds of things_Miscellaneous sources_Duck call (hunting tool)_reference.wav
240	240	Sounds of things	Miscellaneous sources	Sonar				240Sounds of things_Miscellaneous sources_Sonar_reference.wav
241	241	Sounds of things	Specific impact sounds	Basketball bounce				241Sounds of things_Specific impact sounds_Basketball bounce_reference.wav
242	242	Sounds of things	Tools	Filing (rasp)				242Sounds of things_Tools_Filing (rasp)_reference.wav
243	243	Sounds of things	Tools	Hammer				243Sounds of things_Tools_Hammer_reference.wav
244	244	Sounds of things	Tools	Jackhammer				244Sounds of things_Tools_Jackhammer_reference.wav
245	245	Sounds of things	Tools	Power tool	Drill	Dental drill, dentist's drill		245Sounds of things_Tools_Power tool_Drill_Dental drill_ dentist_s drill_reference.wav
246	246	Sounds of things	Tools	Sanding				246Sounds of things_Tools_Sanding_reference.wav
247	247	Sounds of things	Tools	Sawing				247Sounds of things_Tools_Sawing_reference.wav
248	248	Sounds of things	Vehicle	Aircraft	Aircraft engine	Propeller, airscrew		248Sounds of things_Vehicle_Aircraft_Aircraft engine_Propeller_ airscrew_reference.wav
249	249	Sounds of things	Vehicle	Aircraft	Fixed-wing aircraft, airplane			249Sounds of things_Vehicle_Aircraft_Fixed-wing aircraft_ airplane_reference.wav
250	250	Sounds of things	Vehicle	Aircraft	Helicopter			250Sounds of things_Vehicle_Aircraft_Helicopter_reference.wav
251	251	Sounds of things	Vehicle	Boat, Water vehicle	Motorboat, speedboat			251Sounds of things_Vehicle_Boat_ Water vehicle_Motorboat_ speedboat_reference.wav
252	252	Sounds of things	Vehicle	Boat, Water vehicle	Rowboat, canoe, kayak			252Sounds of things_Vehicle_Boat_ Water vehicle_Rowboat_ canoe_ kayak_reference.wav
253	253	Sounds of things	Vehicle	Boat, Water vehicle	Sailboat, sailing ship			253Sounds of things_Vehicle_Boat_ Water vehicle_Sailboat_ sailing ship_reference.wav
254	254	Sounds of things	Vehicle	Boat, Water vehicle	Ship			254Sounds of things_Vehicle_Boat_ Water vehicle_Ship_reference.wav
255	255	Sounds of things	Vehicle	Motor vehicle (road)	Bus			255Sounds of things_Vehicle_Motor vehicle (road)_Bus_reference.wav
256	256	Sounds of things	Vehicle	Motor vehicle (road)	Car	Car alarm		256Sounds of things_Vehicle_Motor vehicle (road)_Car_Car alarm_reference.wav
257	257	Sounds of things	Vehicle	Motor vehicle (road)	Car	Car passing by		257Sounds of things_Vehicle_Motor vehicle (road)_Car_Car passing by_reference.wav
258	258	Sounds of things	Vehicle	Motor vehicle (road)	Car	Power windows, electric windows		258Sounds of things_Vehicle_Motor vehicle (road)_Car_Power windows_ electric windows_reference.wav
259	259	Sounds of things	Vehicle	Motor vehicle (road)	Car	Race car, auto racing		259Sounds of things_Vehicle_Motor vehicle (road)_Car_Race car_ auto racing_reference.wav
260	260	Sounds of things	Vehicle	Motor vehicle (road)	Car	Skidding		260Sounds of things_Vehicle_Motor vehicle (road)_Car_Skidding_reference.wav
261	261	Sounds of things	Vehicle	Motor vehicle (road)	Car	Vehicle horn, car horn, honking		261Sounds of things_Vehicle_Motor vehicle (road)_Car_Vehicle horn_ car horn_ honking_Toot_reference.wav
262	262	Sounds of things	Vehicle	Motor vehicle (road)	Emergency vehicle	Ambulance (siren)	Toot	262Sounds of things_Vehicle_Motor vehicle (road)_Emergency vehicle_Ambulance (siren)_reference.wav
263	263	Sounds of things	Vehicle	Motor vehicle (road)	Emergency vehicle	Fire engine, fire truck (siren)		263Sounds of things_Vehicle_Motor vehicle (road)_Emergency vehicle_Fire engine_ fire truck (siren)_reference.wav
264	264	Sounds of things	Vehicle	Motor vehicle (road)	Emergency vehicle	Police car (siren)		264Sounds of things_Vehicle_Motor vehicle (road)_Emergency vehicle_Police car (siren)_reference.wav
265	265	Sounds of things	Vehicle	Motor vehicle (road)	Motorcycle			265Sounds of things_Vehicle_Motor vehicle (road)_Motorcycle_reference.wav
266	266	Sounds of things	Vehicle	Motor vehicle (road)	Traffic noise, roadway noise			266Sounds of things_Vehicle_Motor vehicle (road)_Traffic noise_ roadway noise_reference.wav
267	267	Sounds of things	Vehicle	Motor vehicle (road)	Truck	Air brake		267Sounds of things_Vehicle_Motor vehicle (road)_Truck_Air brake_reference.wav
268	268	Sounds of things	Vehicle	Motor vehicle (road)	Truck	Air horn, truck horn		268Sounds of things_Vehicle_Motor vehicle (road)_Truck_Air horn_ truck horn_reference.wav
269	269	Sounds of things	Vehicle	Motor vehicle (road)	Truck	Ice cream truck, ice cream van		269Sounds of things_Vehicle_Motor vehicle (road)_Truck_Ice cream truck_ ice cream van_reference.wav
270	270	Sounds of things	Vehicle	Motor vehicle (road)	Truck	Reversing beeps		270Sounds of things_Vehicle_Motor vehicle (road)_Truck_Reversing beeps_reference.wav
271	271	Sounds of things	Vehicle	Non-motorized land vehicle	Bicycle	Bicycle bell		271Sounds of things_Vehicle_Non-motorized land vehicle_Bicycle_Bicycle bell_reference.wav
272	272	Sounds of things	Vehicle	Non-motorized land vehicle	Skateboard			272Sounds of things_Vehicle_Non-motorized land vehicle_Skateboard_reference.wav
273	273	Sounds of things	Vehicle	Rail transport	Railroad car, train wagon			273Sounds of things_Vehicle_Rail transport_Railroad car_ train wagon_reference.wav
274	274	Sounds of things	Vehicle	Rail transport	Subway, metro, underground			274Sounds of things_Vehicle_Rail transport_Subway_ metro_ underground_reference.wav
275	275	Sounds of things	Vehicle	Rail transport	Train wheels squealing			275Sounds of things_Vehicle_Rail transport_Train wheels squealing_reference.wav
276	276	Sounds of things	Vehicle	Rail transport	Train	Train horn		276Sounds of things_Vehicle_Rail transport_Train_Train horn_reference.wav
277	277	Sounds of things	Vehicle	Rail transport	Train	Train whistle		277Sounds of things_Vehicle_Rail transport_Train_Train whistle_reference.wav
278	278	Sounds of things	Wood	Chop				278Sounds of things_Wood_Chop_reference.wav
279	279	Sounds of things	Wood	Crack				279Sounds of things_Wood_Crack_reference.wav
280	280	Sounds of things	Wood	Snap				280Sounds of things_Wood_Snap_reference.wav
281	281	Sounds of things	Wood	Splinter				281Sounds of things_Wood_Splinter_reference.wav
282	282	Source-ambiguous sounds	Deformable shell	Crumpling, crinkling				282Source-ambiguous sounds_Deformable shell_Crumpling_ crinkling_reference.wav
283	283	Source-ambiguous sounds	Deformable shell	Crushing				283Source-ambiguous sounds_Deformable shell_Crushing_reference.wav
284	284	Source-ambiguous sounds	Deformable shell	Tearing				284Source-ambiguous sounds_Deformable shell_Tearing_reference.wav
285	285	Source-ambiguous sounds	Generic impact sounds	Bang				285Source-ambiguous sounds_Generic impact sounds_Bang_reference.wav
286	286	Source-ambiguous sounds	Generic impact sounds	Bouncing				286Source-ambiguous sounds_Generic impact sounds_Bouncing_reference.wav
287	287	Source-ambiguous sounds	Generic impact sounds	Breaking				287Source-ambiguous sounds_Generic impact sounds_Breaking_reference.wav
288	288	Source-ambiguous sounds	Generic impact sounds	Flap				288Source-ambiguous sounds_Generic impact sounds_Flap_reference.wav
289	289	Source-ambiguous sounds	Generic impact sounds	Knock				289Source-ambiguous sounds_Generic impact sounds_Knock_reference.wav
290	290	Source-ambiguous sounds	Generic impact sounds	Slap, smack				290Source-ambiguous sounds_Generic impact sounds_Slap_ smack_reference.wav
291	291	Source-ambiguous sounds	Generic impact sounds	Smash, crash				291Source-ambiguous sounds_Generic impact sounds_Smash_ crash_reference.wav
292	292	Source-ambiguous sounds	Generic impact sounds	Tap				292Source-ambiguous sounds_Generic impact sounds_Tap_reference.wav
293	293	Source-ambiguous sounds	Generic impact sounds	Thump, thud	Clunk			293Source-ambiguous sounds_Generic impact sounds_Thump_ thud_Clunk_reference.wav
294	294	Source-ambiguous sounds	Generic impact sounds	Thump, thud	Thunk			294Source-ambiguous sounds_Generic impact sounds_Thump_ thud_Thunk_reference.wav
295	295	Source-ambiguous sounds	Generic impact sounds	Whack, thwack				295Source-ambiguous sounds_Generic impact sounds_Whack_ thwack_reference.wav
296	296	Source-ambiguous sounds	Generic impact sounds	Whip				296Source-ambiguous sounds_Generic impact sounds_Whip_reference.wav
297	297	Source-ambiguous sounds	Surface contact	Grind				297Source-ambiguous sounds_Surface contact_Grind_reference.wav
298	298	Source-ambiguous sounds	Surface contact	Roll				298Source-ambiguous sounds_Surface contact_Roll_reference.wav
299	299	Source-ambiguous sounds	Surface contact	Rub				299Source-ambiguous sounds_Surface contact_Rub_reference.wav
300	300	Source-ambiguous sounds	Surface contact	Scrape				300Source-ambiguous sounds_Surface contact_Scrape_reference.wav
301	301	Source-ambiguous sounds	Surface contact	Scratch				301Source-ambiguous sounds_Surface contact_Scratch_reference.wav
